example_id,reference,pred_base,pred_lora,wer_base,wer_lora,cer_base,cer_lora,ref_length,ref_words,wer_improvement,cer_improvement
1,"homa mkhbbyin chi haja, ana mti99en!", هم مخبنشي حاجة أنا متقن,ho ma mkhbin chi 3aja anam ti9an,1.0,1.0,0.8888888888888888,0.2777777777777778,36,6,0.0,0.611111111111111
2,bayna homa tay7awlo ib9aw mbrrdin., بينهما كحولوا بقام بردين,baina homa ki7awlo b9am brdin,1.0,0.8,0.9117647058823529,0.2647058823529412,34,5,0.19999999999999996,0.6470588235294117
3,loTilat mabaynach fihom mori7in bzzaf., لو طيلات ما بيناش فيهم مورحين بالزيف,lotaylat mbeynach fiyahom mori7in bzaf,1.4,0.8,0.9210526315789473,0.23684210526315788,38,5,0.5999999999999999,0.6842105263157895
4,ghaliban ghayjrriw 3lih mn lkhdma!, غالباً غيروا عليهم الخدمة,ghali b9ayjriwa 3lih ml khdma,1.0,0.8,0.9117647058823529,0.29411764705882354,34,5,0.19999999999999996,0.6176470588235294
5,Tab3an rah mkta2eb!, طبعا لنرحمك تائب,tab3ana rahma ktayib,1.0,1.0,0.9473684210526315,0.42105263157894735,19,3,0.0,0.5263157894736842
6,tayballia ghanmchi!, كي بالليغا نمشي,kaybal liya ghan mchi,1.5,2.0,1.0,0.2631578947368421,19,2,-0.5,0.736842105263158
7,ara lia dak sac., أرالي دكساك,3ra liya dkSak,1.0,1.0,0.9375,0.4375,16,4,0.0,0.5
8,ghanmreD!, غان مرد,gan mrad,2.0,2.0,1.0,0.5555555555555556,9,1,0.0,0.4444444444444444
9,knt dima 3arf annaha bghatna nmoutou, كنت دي معرف أنها بغتنا الموتو,kndi m3arf annha bgadna lmoutou,1.0,1.0,0.8611111111111112,0.25,36,6,0.0,0.6111111111111112
10,bghit n3ref ch7al b9a lia tlwe9t bach n9ra, أريد أن نعرف شحل بقالية الوقت بشنقرا,bghit n3ra fch lb9alia dyal lw9t bach n9ra,1.0,0.625,0.9047619047619048,0.30952380952380953,42,8,0.375,0.5952380952380952
